ds,residuals
2022-02-28,7513.946706510185
2022-03-01,12303.374475552122
2022-03-02,4324.716200054616
2022-03-03,13975.72154432243
2022-03-04,9923.7524094638
2022-03-05,11911.85468604643
2022-03-06,-11991.676663286822
2022-03-07,10098.768930832437
2022-03-08,8849.02571271185
2022-03-09,-4299.763160068585
2022-03-10,1159.965931701954
2022-03-11,-5527.138808024014
2022-03-12,-2345.965726845763
2022-03-13,-9073.293761088258
2022-03-14,-1425.4432238079225
2022-03-15,1446.5196344426404
2022-03-16,2475.5838871305386
2022-03-17,-3266.050403716192
2022-03-18,615.548848974624
2022-03-19,2466.1103937655316
2022-03-20,-4935.711854458907
2022-03-21,1350.5038631341213
2022-03-22,-2180.2551355662054
2022-03-23,-448.13926582971544
2022-03-24,-2491.9195585199395
2022-03-25,1575.306715943345
2022-03-26,9548.275355443322
2022-03-27,-3316.3570263126458
2022-03-28,5221.179985930425
2022-03-29,1305.7852288619633
2022-03-30,5102.195886983558
2022-03-31,-706.530317915609
2022-04-01,-3793.692744439053
2022-04-02,3339.524052110937
2022-04-03,-7344.22092066042
2022-04-04,969.4840891836939
2022-04-05,5254.9738513313205
2022-04-06,1164.8486460390632
2022-04-07,-2212.2772163947557
2022-04-08,-2245.840351378931
2022-04-09,-1424.6617722592237
2022-04-10,-3895.161270458648
2022-04-11,13512.09631287122
2022-04-12,10565.603016234212
2022-04-13,11522.510036718879
2022-04-14,-10525.349805960717
2022-04-15,-8571.727989476218
2022-04-16,838.5270926820867
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,25.31506267925397
2022-04-20,1571.1724369831063
2022-04-21,-54.28506745721279
2022-04-22,446.3751313379471
2022-04-23,2971.1506479573145
2022-04-24,-2853.4614249252627
2022-04-25,3646.6481601900596
2022-04-26,3303.102949212511
2022-04-27,10555.202645230866
2022-04-28,4050.549789722976
2022-04-29,1212.3368733869902
2022-04-30,12728.808588758424
2022-05-01,-914.8520033489949
2022-05-02,5481.97901917655
2022-05-03,-609.6673901221202
2022-05-04,987.9717009067481
2022-05-05,767.9590255512485
2022-05-06,-716.6893606738959
2022-05-07,2787.043668490878
2022-05-08,-2702.011711892039
2022-05-09,6090.390566111044
2022-05-10,2363.66823739318
2022-05-11,-2104.744446013048
2022-05-12,3301.3311694270196
2022-05-13,11045.616092699762
2022-05-14,-151.37038794544787
2022-05-15,-7024.2929183621145
2022-05-16,2892.4833760423244
2022-05-17,-11492.180552823429
2022-05-18,949.0803076379052
2022-05-19,-3916.2219679090013
2022-05-20,1283.1061273238229
2022-05-21,-1001.8118962690314
2022-05-22,-764.3605937259781
2022-05-23,2151.126288357149
2022-05-24,3205.4707449311936
2022-05-25,-363.0515336251665
2022-05-26,0.0
2022-05-27,4097.342930921586
2022-05-28,-1757.2817107448318
2022-05-29,-11339.57195253831
2022-05-30,2523.401032607664
2022-05-31,-4730.882766785815
2022-06-01,-4667.005998032881
2022-06-02,-7262.734195658344
2022-06-03,-8706.286066590674
2022-06-04,-89.8309497269347
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,-5363.510203025966
2022-06-08,317.4829979392089
2022-06-09,-4883.133769685839
2022-06-10,30171.000204774085
2022-06-11,-11680.993190454496
2022-06-12,0.0
2022-06-13,-691.0059015515762
2022-06-14,-10657.066255517217
2022-06-15,-2997.4532389093292
2022-06-16,-5727.762626758118
2022-06-17,-1794.9470231713494
2022-06-18,-9923.674182548271
2022-06-19,-10311.425784018034
2022-06-20,1806.8470569261517
2022-06-21,34.081738013257564
2022-06-22,4547.267423219433
2022-06-23,-2878.314677552735
2022-06-24,7041.084195410924
2022-06-25,-2582.6671171098205
2022-06-26,-15185.33488401139
2022-06-27,3984.42212369142
2022-06-28,5229.872744850585
2022-06-29,2523.2725695997433
2022-06-30,1572.2688327065152
2022-07-01,12503.95317282588
2022-07-02,-3896.349120207513
2022-07-03,-13164.575263912815
2022-07-04,727.6191081507677
2022-07-05,-780.2160867118073
2022-07-06,-2560.0294489536172
2022-07-07,673.3151590931157
2022-07-08,-6798.402231960401
2022-07-09,-1641.0118101741718
2022-07-10,-4190.968576629126
2022-07-11,4929.3798716039455
2022-07-12,-7957.028955006499
2022-07-13,1312.27361341082
2022-07-14,-5526.50188429208
2022-07-15,-1365.1598264290296
2022-07-16,-2512.2262263221546
2022-07-17,-590.1736158051426
2022-07-18,3536.9993990727216
2022-07-19,-8776.415264647369
2022-07-20,-2311.1866156623146
2022-07-21,872.66314387284
2022-07-22,837.3309305283619
2022-07-23,-269.36693301898777
2022-07-24,-11269.770745106078
2022-07-25,850.826644332883
2022-07-26,-1742.2462251564139
2022-07-27,373.3714061014434
2022-07-28,2804.6763285483503
2022-07-29,-13498.192582651176
2022-07-30,-483.58010067344003
