ds,sunshine_amount,air_temperature,rain_sum,windspeed,ds,residuals,yhat,y,weekly,month_week_interaction,adjusted_forecast
2022-10-10,0.0,12.9,0.7,11.0,2022-10-10,19329.712826507028,10595.287173492972,29925.0,-0.011617559250087584,410,19193.816470367972
2022-10-11,0.0,11.2,0.30000000000000004,11.8,2022-10-11,20135.19779481725,13030.802205182752,33166.0,-0.007421338227213005,410,24000.02193174525
2022-10-12,0.0,12.4,12.9,8.9,2022-10-12,10045.985008768483,16986.014991231517,27032.0,-0.008979758327135587,410,21871.508643575267
2022-10-13,0.0,12.4,0.6,6.1,2022-10-13,17648.333536216403,20409.566463783598,38057.9,-0.007039165999990162,410,25407.732967689848
2022-10-14,0.0,12.3,4.3,8.1,2022-10-14,39703.28718090124,24008.112819098755,63711.4,0.009751666558334019,410,48138.89602222375
2022-10-15,0.0,10.6,10.2,10.3,2022-10-15,78124.57826002773,28811.921739972266,106936.5,0.024086135422340456,410,93815.94908372227
2022-10-16,0.0,11.4,3.8000000000000003,10.8,2022-10-16,4043.5668258127116,30416.33317418729,34459.9,0.0012200198238253648,410,42192.82145543729
2022-10-17,0.0,12.0,4.0,9.8,2022-10-17,-12661.16120368196,33316.86120368196,20655.7,-0.011617559250079922,420,26413.45153571321
2022-10-18,0.0,12.9,6.6,9.3,2022-10-18,-9872.969343883604,36332.0693438836,26459.1,-0.00742133822720574,420,28042.855476696102
2022-10-19,0.0,9.7,0.0,3.8,2022-10-19,-7843.273991582919,39078.07399158292,31234.8,-0.008979758327142557,420,31695.369401739168
2022-10-20,0.0,11.4,0.0,5.4,2022-10-20,-6622.90521494532,41613.40521494532,34990.5,-0.007039165999989012,420,32543.06927744532
2022-10-21,0.0,12.5,0.0,4.3,2022-10-21,32485.76402983757,51565.43597016243,84051.2,0.009751666558350486,420,60503.20843109993
2022-10-22,0.0,11.1,7.800000000000001,2.1,2022-10-22,100498.00144128551,47213.79855871449,147711.8,0.024086135422337875,420,91974.61496496448
2022-10-23,0.0,14.8,1.7,5.1,2022-10-23,-10099.674252884695,47121.0742528847,37021.4,0.001220019823808898,420,50438.98196772845
2022-10-24,0.0,15.4,0.3,6.9,2022-10-24,-35813.38445096541,47909.88445096541,12096.5,-0.011617559250096096,430,39589.45964627791
2022-10-25,0.0,12.8,0.0,4.2,2022-10-25,-29829.347787641258,48691.34778764126,18862.0,-0.007421338227211724,430,40082.41614701626
2022-10-26,0.0,13.6,3.0,8.6,2022-10-26,-21065.243510994507,49029.14351099451,27963.9,-0.008979758327137568,430,54305.33687036951
2022-10-27,0.0,14.2,1.9,7.0,2022-10-27,-25108.51580506485,49140.21580506485,24031.7,-0.007039166000021186,430,42438.17771912735
2022-10-28,0.0,15.6,7.8,8.3,2022-10-28,9439.596185483424,49925.403814516576,59365.0,0.009751666558369945,430,69957.12647076658
2022-10-29,0.0,13.3,0.0,5.1,2022-10-29,42842.21983194366,61991.38016805635,104833.6,0.02408613542233239,430,94922.88016805635
2022-10-30,0.0,15.8,4.8,6.9,2022-10-30,-16542.93689114352,48171.73689114352,31628.8,0.0012200198237924283,430,48957.40284573336
2022-10-31,0.0,13.9,0.7,7.8,2022-10-31,-30707.957581694256,46282.757581694255,15574.8,-0.011617559250088436,440,38020.869886381755
2022-11-01,0.0,14.9,5.7,14.1,2022-11-01,-27348.716218954298,45252.4162189543,17903.7,-0.007421338227214612,484,39127.5324298918
2022-11-02,0.0,12.2,3.5,10.9,2022-11-02,-16807.80274735111,43828.40274735111,27020.6,-0.008979758327132579,484,33165.34513016361
2022-11-03,0.0,12.4,17.2,13.2,2022-11-03,-19308.95891079928,42547.05891079928,23238.1,-0.007039166000011741,484,29094.60871548678
2022-11-04,0.0,8.8,24.0,7.1,2022-11-04,52192.92286205647,44716.07713794353,96909.0,0.009751666558383422,484,49915.82713794353
2022-11-05,0.0,10.7,1.1,5.0,2022-11-05,87651.25150542846,42821.94849457153,130473.2,0.024086135422326908,484,77898.99146332152
2022-11-06,0.0,11.9,5.4,5.7,2022-11-06,-15177.325816333927,39223.925816333925,24046.6,0.0012200198237677358,484,34745.234898365175
2022-11-07,0.0,11.1,7.2,5.4,2022-11-07,-13161.082868842474,37550.58286884247,24389.5,-0.01161755925008419,495,27577.879743842474
2022-11-08,0.0,13.3,4.3,10.4,2022-11-08,-16285.08082003296,36403.88082003296,20118.8,-0.007421338227220595,495,25956.43453097046
2022-11-09,0.0,12.3,1.1,8.5,2022-11-09,-15717.098482841757,35263.698482841755,19546.6,-0.008979758327139547,495,31218.92968401363
2022-11-10,0.0,12.8,0.4,10.7,2022-11-10,-7905.794232917637,34606.79423291764,26701.0,-0.0070391660000022945,495,27385.510053230137
2022-11-11,0.0,14.3,0.0,9.4,2022-11-11,10185.535310266328,49469.86468973367,59655.4,0.009751666558402877,495,70001.07758035867
2022-11-12,0.0,13.8,0.4,5.4,2022-11-12,62017.70954938723,35361.69045061276,97379.4,0.024086135422347985,495,72853.57716936276
2022-11-13,0.0,12.9,0.1,5.9,2022-11-13,-12613.05598305456,34613.55598305456,22000.5,0.0012200198237430414,495,32039.45539711706
2022-11-14,0.0,13.5,0.0,2.3,2022-11-14,2040.1061587397198,27647.99384126028,29688.1,-0.011617559250088446,506,25311.80389985403
2022-11-15,0.0,12.2,0.0,12.4,2022-11-15,11609.392011257656,29236.707988742342,40846.1,-0.007421338227200081,506,24341.829570773592
2022-11-16,0.0,9.9,0.0,15.1,2022-11-16,3985.283330510654,28930.416669489343,32915.7,-0.008979758327146516,506,28103.30943071981
2022-11-17,0.0,7.7,0.0,14.0,2022-11-17,5464.677720377458,30141.822279622542,35606.5,-0.007039166000001145,506,27601.034926106917
2022-11-18,0.0,6.7,0.0,11.6,2022-11-18,26299.102356981362,56236.99764301864,82536.1,0.009751666558321912,506,63186.62899067489
2022-11-19,0.0,4.3,0.0,4.2,2022-11-19,29030.62129970471,73456.57870029529,102487.2,0.024086135422345407,506,95021.04745029529
